side,ts_event,ts_recv,price,size,action,order_id,symbol
b,2024-11-12T06:50:46.336244616Z,2024-11-11 23:50:45.985352,0.3994993,10890.14841908,add,OJ7QHE-V4TNA-7WK5PZ,DOGE/USD
b,2024-11-12T06:50:46.340576113Z,2024-11-11 23:50:45.985567,0.3994993,10890.14841908,delete,OJ7QHE-V4TNA-7WK5PZ,DOGE/USD
b,2024-11-12T06:50:38.856903576Z,2024-11-11 23:50:45.985567,0.3991438,18820.66417788,add,O5OXNA-UI4SJ-D22HXM,DOGE/USD
a,2024-11-12T06:50:46.343273793Z,2024-11-11 23:50:45.985735,0.3997015,13907.91303771,add,OIK7S7-W6LTV-7ND4L3,DOGE/USD
a,2024-11-12T06:50:46.346608620Z,2024-11-11 23:50:45.985926,0.3997015,13907.91303771,delete,OIK7S7-W6LTV-7ND4L3,DOGE/USD
a,2024-11-12T06:50:44.942275751Z,2024-11-11 23:50:45.985926,0.3999167,2193.75,add,OGJPVK-7WYKI-YYJMMS,DOGE/USD
a,2024-11-12T06:50:46.348833248Z,2024-11-11 23:50:45.986127,89749.9,2.78551852,delete,ONOZAU-CDTYQ-I64CT4,BTC/USD
a,2024-11-12T06:50:46.210385589Z,2024-11-11 23:50:45.986127,89750.2,0.00556897,add,OZP3L7-JFB7B-RTIBHU,BTC/USD
b,2024-11-12T06:50:46.354050300Z,2024-11-11 23:50:45.986328,3387.72,2.7,delete,OR2HTV-JIXJL-VWVQIX,ETH/USD
b,2024-11-12T06:50:29.738838811Z,2024-11-11 23:50:45.986328,3386.95,2.7,add,OZGRUF-FMNLT-PR4YHJ,ETH/USD
a,2024-11-12T06:50:46.356368660Z,2024-11-11 23:50:45.986627,89735.1,0.0001,delete,OROYNM-VTV5G-S6QFYX,BTC/USD
a,2024-11-12T06:50:46.168502495Z,2024-11-11 23:50:45.986627,89751.2,0.02222991,add,O7IANV-FT7HH-QLCB44,BTC/USD
a,2024-11-12T06:50:46.356368664Z,2024-11-11 23:50:45.986806,89730.1,0.0001,add,O2FDFB-7JXEO-PP4C2W,BTC/USD
b,2024-11-12T06:50:46.359903578Z,2024-11-11 23:50:45.987004,0.3994973,10854.74827814,delete,OTPRYU-QWLAF-BAJKOB,DOGE/USD
b,2024-11-12T06:50:44.756120998Z,2024-11-11 23:50:45.987004,0.3991296,2193.75,add,OXB26X-5O54N-JA3ZAW,DOGE/USD
b,2024-11-12T06:50:46.363568154Z,2024-11-11 23:50:45.987212,0.3994993,15526.14203656,add,OA7WDH-J4J7F-PEFJY3,DOGE/USD
b,2024-11-12T06:50:46.366701420Z,2024-11-11 23:50:45.987588,0.3994993,15526.14203656,delete,OA7WDH-J4J7F-PEFJY3,DOGE/USD
b,2024-11-12T06:50:44.756120998Z,2024-11-11 23:50:45.987588,0.3991296,2193.75,add,OXB26X-5O54N-JA3ZAW,DOGE/USD
a,2024-11-12T06:50:46.371857114Z,2024-11-11 23:50:45.988247,220.9,45.27043914,delete,OLPLAQ-TYDH5-T4MNQ5,SOL/USD
a,2024-11-12T04:46:23.478328970Z,2024-11-11 23:50:45.988247,221.05,3.49631248,add,OXDS7D-JHI7B-STBP4H,SOL/USD
a,2024-11-12T04:55:00.731085620Z,2024-11-11 23:50:45.988247,221.05,0.0599927,add,OWG3A5-YCSVW-YQY2GG,SOL/USD
a,2024-11-12T05:47:29.958144899Z,2024-11-11 23:50:45.988247,221.05,0.23518,add,OR6USY-WK6BJ-ZPHAZJ,SOL/USD
b,2024-11-12T06:50:46.373105197Z,2024-11-11 23:50:45.988561,220.77,154.00458395,delete,OKQJ63-HJ3XB-5DPIOC,SOL/USD
b,2024-11-12T06:50:40.612000700Z,2024-11-11 23:50:45.988561,220.68,17.92287169,add,OPPMP7-BHVVM-XHEC5Q,SOL/USD
b,2024-11-12T06:50:46.089869366Z,2024-11-11 23:50:45.988561,220.68,560.50686993,add,ORVKTG-GB7HF-EPNJVK,SOL/USD
a,2024-11-12T06:50:46.373866351Z,2024-11-11 23:50:45.988949,220.93,135.78961662,delete,O3KWSP-3PYTH-5ODE7F,SOL/USD
a,2024-11-12T04:55:09.062529946Z,2024-11-11 23:50:45.988949,221.06,0.18713314,add,OSEZQD-55RVX-Z4FA7V,SOL/USD
a,2024-11-12T06:04:52.327171460Z,2024-11-11 23:50:45.988949,221.06,2.4297288,add,OHK5AW-DFBMJ-ARDKOA,SOL/USD
a,2024-11-12T06:50:45.891849958Z,2024-11-11 23:50:45.988949,221.06,77.16644803,add,ORWNDA-LJXIN-FLT7N3,SOL/USD
a,2024-11-12T06:50:46.375077376Z,2024-11-11 23:50:45.989222,89748.9,5.57110437,delete,OLPDNR-QX2IM-GY2AP7,BTC/USD
a,2024-11-12T06:50:46.168502495Z,2024-11-11 23:50:45.989222,89751.2,0.02222991,add,O7IANV-FT7HH-QLCB44,BTC/USD
a,2024-11-12T06:50:46.375891145Z,2024-11-11 23:50:45.989502,3391.11,0.15078133,delete,OV7G35-447M4-L3AIL2,ETH/USD
a,2024-11-12T06:50:45.001764838Z,2024-11-11 23:50:45.989502,3392.5,73.69196974,add,O7KSEL-QULB4-NSHO24,ETH/USD
